Altium Designer Pick and Place Locations
C:\Users\matth\AppData\Local\TempReleases\Snapshot\1\Assembly Production\Assembly\Pick Place\FD-KL-ASM-SUB-PCB-MAIN_A5.txt

========================================================================================================================
File Design Information:

Date:       02/05/22
Time:       11:19
Revision:   Not in VersionControl
Variant:    Production
Units used: mm

Designator Comment                             Layer       Footprint                Center-X(mm) Center-Y(mm) Rotation Description                                                                                                   
C87        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       20.1000mm    78.3000mm    0        "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
D6         D5V0M1U2S9-7                        BottomLayer SOD-923_V                -1.4000mm    4.4000mm     270      "12V Clamp 9A (8/20µs) Ipp Tvs Diode Surface Mount SOD-923"                                                   
D5         D5V0M1U2S9-7                        BottomLayer SOD-923_V                7.3000mm     13.3000mm    270      "12V Clamp 9A (8/20µs) Ipp Tvs Diode Surface Mount SOD-923"                                                   
C81        "CAP CER 4.7UF 10V 20% X5R 0402"    BottomLayer CAPC0402(1005)55_L       23.3000mm    89.0000mm    0        "4.7µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                     
U32        BCR421UFD-7                         BottomLayer DIOD_-_U-DFN2020-6_L     17.8000mm    82.3000mm    180      "LED Driver IC 1 Output Linear - PWM Dimming 350mA U-DFN2020-6"                                               
R71        "RES 0 OHM JUMPER 1/10W 0603"       BottomLayer RESC0603(1608)_L         5.5000mm     88.2000mm    270      "0 Ohms Jumper 0.1W, 1/10W Chip Resistor 0603 (1608 Metric)"                                                  
R69        "RES 100K 1/16W 1% 0402"            BottomLayer RESC0402(1005)_L         15.9000mm    86.6000mm    180      "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"                 
C84        "CAP CER 0.047uF 10V 10% X7R 0402"  BottomLayer CAPC0402(1005)55_L       18.0000mm    86.7000mm    0        "0.047µF ±10% 10V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                   
C83        CAP CER 2.2uF 6.3V 10% X5R 0402     BottomLayer CAPC0402(1005)55_L       15.9000mm    88.2000mm    270      "2.2µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                    
C82        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L       18.2000mm    88.1000mm    270      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                     
