Line #,Rev,Fitted,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer 2,Manufacturer Part Number 2,Manufacturer 3,Manufacturer Part Number 3

"","","Fitted","RES 330 OHM 1/16W 1% 0402","330 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","R27","1","Yageo","RC0402FR-07330RL","Vishay","CRCW0402330RFKED","",""
"","","Fitted","TL1014BF220QG","Tactile Switch SPST-NO Side Actuated Surface Mount, Right Angle","SW19","1","E-Switch","TL1014BF220QG","","","",""
"1","A3","Fitted","FD-KL-ASM-SUB-PCB-MAIN","Printed Circuit Board","PCB1","1","","","","","",""
"2","","Fitted","114-00841-68","10 (8 + 2) Position Card Connector Secure Digital - microSD™ Surface Mount, Right Angle Gold","J1","1","Amphenol","114-00841-68","","","",""
"3","","Fitted","503480-2200","22 Position FFC, FPC Connector Contacts, Top and Bottom 0.020"" (0.50mm) Surface Mount, Right Angle","J2","1","Molex","503480-2200","","","",""
"4","","Fitted","009155003301006-2","3 Position Spring Battery Contact Connector Surface Mount, Right Angle","J3","1","AVX","009155003301006","","","",""
"5","","Fitted","ADP2503ACPZ-R7","Buck-Boost Switching Regulator IC Positive Adjustable 2.8V 1 Output 600mA 10-VFDFN Exposed Pad, CSP","U11","1","Analog Devices","ADP2503ACPZ-R7","","","",""
"6","","Fitted","ADP5587ACPZ-R7","I/O Expander 18 I²C 400kHz 24-LFCSP-WQ (4x4)","U4","1","Analog Devices","ADP5587ACPZ-R7","","","",""
"7","","Not Fitted","ATECC608A-MAHCZ-T","Cryptographic Co-Processor with Secure Hardware-Based Key Storage 1-Wire Interface 8-Pin UDFN T/R","U10","0","Microchip","ATECC608A-MAHCZ-T","","","",""
"8","","Fitted","ATECC608A-SSHCZ-T","Cryptographic Co-Processor with Secure Hardware-Based Key Storage 1-Wire Interface 8-Pin SOIC T/R","U5","1","Microchip","ATECC608A-SSHCZ-T","","","",""
"9","","Fitted","BCR421UFD-7","LED Driver IC 1 Output Linear - PWM Dimming 350mA U-DFN2020-6","U32","1","Diodes","BCR421UFD-7","","","",""
"10","","Fitted","BLM18PG221SH1D","FERRITE BEAD 220 OHM 0603 1LN","L5, L6","2","Murata","BLM18PG221SH1D","Bourns","MH1608-221Y","",""
"11","","Fitted","BQ25050DQCR","Charger IC Lithium Ion 10-WSON (3x2)","U23","1","Texas Instruments","BQ25050DQCR","Texas Instruments","BQ25050DQCT","",""
"12","","Fitted","BQ27520YZFR-G4","Battery Battery Monitor IC Lithium Ion 15-DSBGA","U27","1","Texas Instruments","BQ27520YZFR-G4","","","",""
"13","","Fitted","BZT585B15T-7","Zener Diode 15V 350mW ±2% Surface Mount SOD-523","D2, D3","2","Diodes","DDZ9703T-7","MCC","BZT52C15T-TP","Diodes","BZT585B15T-7"
"14","","Fitted","CAP CER 0.01uF 50V 10% X7R 0402","10000pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)","C2, C34","2","Samsung","CL05B103KB5NNNC","Yageo","CC0402KRX7R9BB103","Murata","GRM155R71H103KA88D"
"15","","Fitted","CAP CER 0.033uF 25V 10% X7R 0402","0.033µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","C64","1","Yageo","CC0402KRX7R8BB333","KEMET","C0402C333K3RACTU","Murata","GCM155R71E333KA55D"
"16","","Fitted","CAP CER 0.047uF 10V 10% X7R 0402","0.047µF ±10% 10V Ceramic Capacitor X7R 0402 (1005 Metric)","C53, C84","2","Murata","GRM155R71A473KA01D","Yageo","CC0402KRX7R6BB473","KEMET","C0402C473K8RACTU"
"16","","Not Fitted","CAP CER 0.047uF 10V 10% X7R 0402","0.047µF ±10% 10V Ceramic Capacitor X7R 0402 (1005 Metric)","C88","0","Murata","GRM155R71A473KA01D","Yageo","CC0402KRX7R6BB473","KEMET","C0402C473K8RACTU"
"17","","Fitted","CAP CER 0.1uF 16V 10% X7R 0402","0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)","C3, C5, C6, C7, C8, C9, C10, C11, C12, C14, C15, C18, C20, C21, C22, C23, C25, C28, C29, C33, C37, C38, C39, C43, C48, C52, C60, C61, C62, C65, C66, C67, C68, C69, C72, C73, C76, C77, C79, C80, C82, C87","42","Murata","GCM155R71C104KA55D","TDK","C1005X7R1C104K050BC","KEMET","C0402C104K4RACAUTO"
"17","","Not Fitted","CAP CER 0.1uF 16V 10% X7R 0402","0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)","C26, C56","0","Murata","GCM155R71C104KA55D","TDK","C1005X7R1C104K050BC","KEMET","C0402C104K4RACAUTO"
"18","","Fitted","CAP CER 1uF 25V 10% X5R 0402","1uF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","C44, C45, C59, C63","4","Yageo","CC0402KRX5R8BB105","Taiyo Yuden","UMK105CBJ105KV-F","Samsung","CL05A105KA5NQNC"
"18","","Not Fitted","CAP CER 1uF 25V 10% X5R 0402","1uF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric)","C86","0","Yageo","CC0402KRX5R8BB105","Taiyo Yuden","UMK105CBJ105KV-F","Samsung","CL05A105KA5NQNC"
